query_file,query_label,metric,neighbor_1,neighbor_1_label,distance_1,neighbor_2,neighbor_2_label,distance_2,neighbor_3,neighbor_3_label,distance_3,neighbor_4,neighbor_4_label,distance_4,neighbor_5,neighbor_5_label,distance_5
Hukum - Thalaivar Alappara (PenduJatt.Co...,class1,euclidean,God Mode,class3,8.115139829486354,Oru Peru Varalaaru,class2,9.630260011402289,Leo - Ratata Video Thalapathy Vijay Anir...,class1,10.987905884767658,Raavana Mavandaa,class3,12.559678195215087,Aaya Sher,class2,14.339854567591399
Leo - Ratata Video Thalapathy Vijay Anir...,class1,euclidean,Raavana Mavandaa,class3,8.786112174245197,Oru Peru Varalaaru,class2,9.491434900903867,God Mode,class3,9.526376982820228,Hukum - Thalaivar Alappara (PenduJatt.Co...,class1,10.987905884767658,Aaya Sher,class2,11.962841732518264
Aaya Sher,class2,euclidean,Oru Peru Varalaaru,class2,11.116218854419479,Raavana Mavandaa,class3,11.480123096214855,Leo - Ratata Video Thalapathy Vijay Anir...,class1,11.962841732518264,God Mode,class3,12.079251735144654,Hukum - Thalaivar Alappara (PenduJatt.Co...,class1,14.339854567591397
Oru Peru Varalaaru,class2,euclidean,God Mode,class3,8.486189271445546,Raavana Mavandaa,class3,9.373358925355419,Leo - Ratata Video Thalapathy Vijay Anir...,class1,9.491434900903867,Hukum - Thalaivar Alappara (PenduJatt.Co...,class1,9.630260011402289,Aaya Sher,class2,11.116218854419479
God Mode,class3,euclidean,Hukum - Thalaivar Alappara (PenduJatt.Co...,class1,8.115139829486354,Oru Peru Varalaaru,class2,8.486189271445546,Leo - Ratata Video Thalapathy Vijay Anir...,class1,9.526376982820228,Raavana Mavandaa,class3,11.090531812748754,Aaya Sher,class2,12.079251735144654
Raavana Mavandaa,class3,euclidean,Leo - Ratata Video Thalapathy Vijay Anir...,class1,8.786112174245197,Oru Peru Varalaaru,class2,9.373358925355419,God Mode,class3,11.090531812748754,Aaya Sher,class2,11.480123096214855,Hukum - Thalaivar Alappara (PenduJatt.Co...,class1,12.559678195215088
