,Hukum - Thalaivar Alappara (PenduJatt.Co...,Leo - Ratata Video Thalapathy Vijay Anir...,Aaya Sher,Oru Peru Varalaaru,God Mode,Raavana Mavandaa
Hukum - Thalaivar Alappara (PenduJatt.Co...,0.0,1.2357732005720705,1.5151258203197413,1.0466625929377036,0.6898510828852693,1.471401773552587
Leo - Ratata Video Thalapathy Vijay Anir...,1.2357732005720705,0.0,1.2475776123421896,1.3143367686030305,1.228353902884869,0.8841530262003814
Aaya Sher,1.5151258203197413,1.2475776123421896,0.0,1.1761960048450397,1.3276792962256907,1.0535185449926583
Oru Peru Varalaaru,1.0466625929377036,1.3143367686030305,1.1761960048450397,0.0,1.1145707044319964,1.1304703498623367
God Mode,0.6898510828852693,1.228353902884869,1.3276792962256907,1.1145707044319964,0.0,1.4848640986258714
Raavana Mavandaa,1.471401773552587,0.8841530262003814,1.0535185449926583,1.1304703498623367,1.4848640986258714,0.0
