,Hukum - Thalaivar Alappara (PenduJatt.Co...,Leo - Ratata Video Thalapathy Vijay Anir...,Aaya Sher,Oru Peru Varalaaru,God Mode,Raavana Mavandaa
Hukum - Thalaivar Alappara (PenduJatt.Co...,0.0,10.987905884767658,14.339854567591399,9.630260011402289,8.115139829486354,12.559678195215087
Leo - Ratata Video Thalapathy Vijay Anir...,10.987905884767658,0.0,11.962841732518264,9.491434900903867,9.526376982820228,8.786112174245197
Aaya Sher,14.339854567591397,11.962841732518264,0.0,11.116218854419479,12.079251735144654,11.480123096214855
Oru Peru Varalaaru,9.630260011402289,9.491434900903867,11.116218854419479,0.0,8.486189271445546,9.373358925355419
God Mode,8.115139829486354,9.526376982820228,12.079251735144654,8.486189271445546,0.0,11.090531812748754
Raavana Mavandaa,12.559678195215088,8.786112174245197,11.480123096214855,9.373358925355419,11.090531812748754,0.0
