<<<<<<< HEAD
query_file,metric,neighbor_1,distance_1
Hukum - Thalaivar Alappara (PenduJa...,cosine,Leo - Ratata Video Thalapathy Vijay...,2.0
Leo - Ratata Video Thalapathy Vijay...,cosine,Hukum - Thalaivar Alappara (PenduJa...,2.0
=======
query_file,metric,neighbor_1,distance_1
Hukum - Thalaivar Alappara (PenduJa...,cosine,Leo - Ratata Video Thalapathy Vijay...,2.0
Leo - Ratata Video Thalapathy Vijay...,cosine,Hukum - Thalaivar Alappara (PenduJa...,2.0
>>>>>>> 7f47d451c7a5e4dd870316c6ef400bc7644df07c
